Year,Precipitation (mm/year)
1981,2958.5388
1982,2888.3313
1983,3454.392
1984,3280.4714
1985,2819.4814
1986,2842.2703
1987,3061.3196
1988,3311.3052
1989,2458.5854
1990,2671.9648
1991,2568.0261
1992,2557.381
1993,3134.9321
1994,2632.0469
1995,3193.558
1996,2786.989
1997,3355.354
1998,2791.1653
1999,3198.6277
2000,3098.8699
2001,3015.6128
2002,2977.4329
2003,2769.9236
2004,2916.1433
2005,2416.977
2006,2498.9624
2007,3426.435
2008,2725.5686
2009,2984.607
2010,2744.2947
2011,3447.5933
2012,2885.8496
2013,2516.457
2014,2889.5918
2015,3638.4167
2016,3065.7725
2017,4202.9233
2018,2634.198
2019,3208.261
2020,3311.7134
2021,3082.4004
2022,2358.8037
2023,3100.7517
